Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
62,63,0.458,50.8079026639462
63,64,0.5223,51.26590269804
64,65,0.4693,51.7882027029991
65,66,0.568,52.2575027048588
66,67,0.3936,52.8255027234554
67,68,0.9671,53.2191027402878
68,69,5.8552,54.1862027645111
69,70,0.5627,60.041403055191
70,71,0.5401,60.6041030883789
71,72,0.6078,61.1442030668259
72,73,0.4944,61.7520030736923
73,74,0.3619,62.2464030981064
74,75,0.4413,62.6083030998707
75,76,0.4258,63.0496031045914
76,77,0.4362,63.4754031002522
77,78,0.4822,63.9116031229496
78,79,0.4848,64.3938031494617
79,80,0.4108,64.8786031603813
80,81,0.6234,65.2894031703472
81,82,0.5974001,65.9128032028675
82,83,0.4984,66.5102032721043
83,84,0.4763,67.0086032748222
84,85,0.4738,67.4849032759666
85,86,0.5491,67.9587032794952
86,87,0.4679,68.5078032612801
87,88,0.4718,68.9757032692432
88,89,0.4661,69.4475032687187
89,90,0.5593,69.9136033058167
90,91,6.019701,70.4729033112526
91,92,0.6006,76.4926038384438
92,93,0.595,77.0932038426399
93,94,0.5636,77.6882038712502
94,95,0.5255,78.2518038749695
95,96,0.6185001,78.7773038744926
96,97,0.5284001,79.3958039283752
97,98,0.5827,79.92420399189
98,99,0.4312,80.5069040060043
99,100,0.419,80.9381040334702
100,101,0.4804,81.3571040630341
101,102,0.4624,81.8375040888786
102,103,0.3692,82.2999041080475
103,104,0.3602,82.669104129076
104,105,0.3403,83.0293041467667
105,106,0.3391,83.3696041405201
106,107,0.3668,83.7087041735649
107,108,0.3765,84.0755041837692
108,109,0.3669,84.4520041942596
109,110,0.4052,84.8189041912556
110,111,0.3866,85.2241042256355
111,112,0.3487,85.6107042431831
112,113,0.3286,85.9594042599201
113,114,0.337,86.2880042791367
114,115,6.5074,86.6250042915344
115,116,0.3424,93.1324043273926
116,117,0.4229,93.4748043417931
117,118,0.3465,93.8977043628693
118,119,0.3021,94.2442043721676
119,120,0.391,94.5463044047356
120,121,0.3958,94.9373044371605
121,122,1.3991,95.3331044316292
122,123,13.22,96.7322044968605
123,124,50.3179,109.952204763889
124,125,45.5969,160.270106375217
125,126,43.9442,205.867007315159
126,127,44.297,249.811209738255
127,128,44.2322,294.108210623264
128,129,49.1697,338.340411245823
129,130,43.7927,387.510111868382
130,131,42.1388,431.302813589573
131,132,39.9419,473.44161516428
132,133,40.0076,513.383517324924
133,134,39.9387,553.391120016575
134,135,39.8622,593.329821646214
135,136,39.8029,633.192023336887
136,137,40.0127,672.994925558567
137,138,40.7798,713.007628500462
138,139,43.1773,753.787432730198
139,140,41.7076,796.964736044407
140,141,40.9312,838.672339498997
141,142,40.5153,879.603541433811
142,143,43.218,920.118845999241
143,144,41.0832,963.336848318577
144,145,40.6765,1004.42005068064
145,146,47.3271,1045.09655290842
146,147,41.413,1092.42365556955
147,148,42.5652,1133.83665758371
148,149,44.0937,1176.40185838938
149,150,40.416,1220.49555879831
150,151,40.3907,1260.91155916452
151,152,43.3746,1301.30226045847
152,153,42.9549,1344.67686372995
153,154,41.7259,1387.63176256418
154,155,43.9867,1429.35766130686
155,156,43.1092,1473.34436327219
156,157,40.1509,1516.45356279612
157,158,41.1307,1556.60446459055
158,159,40.0353,1597.73516756296
159,160,44.7445,1637.77046877146
160,161,42.7084,1682.5149717927
161,162,40.7925,1725.22337251902
162,163,42.6309,1766.01587587595
163,164,41.7345,1808.64677721262
164,165,40.2646,1850.38127809763
165,166,40.9014,1890.64588075876
166,167,41.752,1931.54728227854
167,168,41.3166,1973.2992849946
168,169,40.1055,2014.61588960886
169,170,40.3483,2054.72139269114
170,171,39.4564,2095.06969362497
171,172,39.93361,2134.52609544992
172,173,40.542,2174.45970064402
173,174,39.9793,2215.00170427561
174,175,40.7648,2254.98100572824
175,176,39.6484,2295.74580675364
176,177,42.9413,2335.39420610666
177,178,40.6155,2378.33550935984
178,179,43.6686,2418.95101076365
179,180,41.2279,2462.61961275339
180,181,44.2147,2503.84751421213
181,182,39.7803,2548.06221681833
182,183,40.0442,2587.84252077341
183,184,39.7746,2627.88672167063
184,185,39.7883,2667.66132646799
185,186,41.2115,2707.44962984324
186,187,42.7808,2748.66113191843
187,188,39.382,2791.44193559885
188,189,40.263,2830.82393556833
