Frame Offset, Frame Index, Frame Time (ms), Time from first frame (ms)
165,166,41.0928,2156.69981575012
166,167,37.6303,2197.7926197052
167,168,42.147,2235.4229221344
168,169,40.046,2277.56992530823
169,170,39.709,2317.61592674255
170,171,38.8846,2357.32493019104
171,172,45.377,2396.20953178406
172,173,43.5992,2441.58653450012
173,174,44.8286,2485.18573570251
174,175,49.13461,2530.01433753967
175,176,44.914,2579.14894294739
176,177,49.4272,2624.06294441223
177,178,43.6907,2673.49014472961
178,179,42.5881,2717.18084526062
179,180,49.3742,2759.76894950867
180,181,43.5461,2809.14315223694
181,182,45.9291,2852.68925666809
182,183,43.6509,2898.61836051941
183,184,42.809,2942.26926231384
184,185,39.8401,2985.07826423645
185,186,44.8505,3024.91836738586
186,187,41.891,3069.76886940002
187,188,38.6657,3111.65987205505
